truthful ||| negative ||| I'm a frequent business traveler and often in Chicago on trips. At times, it's very difficult to even find a hotel in downtown Chicago, and this was one of those times. I recently had to pay almost $400 for one night at the Allegro. It was absolutely not worth it. The hotel was filled to capacity with conventioneers, so check-in and check-out were very slow. There were very few elevators, which were worked beyond capacity with all the guests. The morning I checked out, our elevator stopped at every single floor from the 16th floor down to the lobby, but the elevator was almost completely full when I got on at the 18th floor, so I can only imagine how long it must have taken other guests to get downstairs. The room was extremely small and cramped, even though it had obviously been renovated recently. The TV, bed, and decor were all new and were the high points of the hotel. Still, the rate was way overpriced for such a small room. The best thing about the Allegro was the room service, which was prompt. The food was good, and the prices were very reasonable for room service. From now on, if my regular hotels are booked, I'll just take a cab farther out from the city because it just isn't worth it.
truthful ||| positive ||| Sometimes you just can't find fault with a hotel, even if you tried. Such was the case with Sofitel, where we'd never stayed before. It's a sleek, modern, sophisticated hotel with European touches. We spent three days there on a leisure weekend, we had a 29th floor king room looking directly at the Hancock Building, at a total cost including taxes and lugs of about $165 a night. The room was average sized, well-appointed, everything in it worked, and it had a fabulous view of the Chicago high-rise jungle, including snippets of the lake. The public areas were wonderfully decorated. The restaurant served a good breakfast at, for Chicago, reasonable prices. The staff was excellent. My wife broke her ankle several weeks before we visited and was on crutches. The staff loaned us a wheelchair and was very helpful in assisting her.
truthful ||| negative ||| My sister and I stayed on the 22nd floor, there was a refrigerator in the hallway for the first three nights, beat up and old dorm style. It was not until we told the concierge that we were going to post the picture we took of it on Tripadvisor did the thing get removed. Breakfast dishes left outside rooms will stay on the floor for a day or two routinely. All night there are chimes that make noise, that are supposed to be comformting or relaxing and rather they are just annoying. There is no wifi - no matter what they tell you, I paid for the wifi, and still we were unable to get on. Lastly, my sister and I split the bill, I had already paid for the first night in form of a deposit and they gave her the credit. Room cost with city taxes etc. was 313.69 a night. I know the Comfort Inn just a few blocks away is significantly cheaper! So while the View was wonderful, it is NOT worth the money.
fake ||| negative ||| My husband and I were sorely disappointed in this hotel. We had requested a non smoking room, and right off we were hit with the stinch of stale cigarettes when we opened the door. The front desk was not responsive to our needs at all, but we did finally get moved to a new room. The water pressure in the shower was hardly enough to get the shampoo out of our hair and the beds were lumpy. I was very disappointed in the workout room, it was very small so I decided to swim laps instead, but when I got to the pool it didn't look like it had been maintained all week. Needless to say we won't make the mistake of staying with Homewood Suites again.
fake ||| negative ||| The Affinia in Chicago obviously caters to wedding guests and corporations hosting business conferences. If you do not represent one of these groups with a large number of guests and revenue for Affinia, do not expect any measure of customer service and don't expect great accommodations, even at their high prices. When we arrived our reservation was lost, then it took forever for the concierge to tell us the room we were instead given was available. The furnishings in the room were cheaply made, the cleaning obviously superficial and our view was directly into the concrete wall of the hotel's L shaped corridor. I called for fresh linens and toiletries and a very rude phone attendant told me someone would essentially be then when they had time. Two hours later someone came. The dining hall and reception areas were really nice, but again, unless you're a large group don't expect to enjoy them during your stay at Affinia. Even if you could, the prices wouldn't be worth it.
fake ||| positive ||| My family's seven day stay at the InterContinental Chicago hotel was more than I could ever imagine. The InterContinental is more fantastic than any previous hotel I have visited, because of its wonderful amenities, such as the excellent 24 hour room service, access to personal trainers,and even a dry cleaning service, just to mention a few. My family really enjoyed dining on the contemporary American cuisine at the hotels Zest Restaurant, which served an excellent meal worth every dime of its reasonable price. My most favorite point about the InterContinental Chicago is that it provides entry right into the Windy City, where my family and I had immediate access to transportation, shopping, and city attractions. We had a great time traveling through Chicago and enjoying ourselves while at the same time we felt secure knowing that we had a nice, clean, elegant, safe hotel to travel back to whenever we were done touring the city each day. The InterContinental is a must stay and I will recommend them to anyone who plans on visiting Chicago.
truthful ||| positive ||| Just got back from 2 days up in Chicago shopping with girlfriends. First time I have stayed at the Omni. I did so because I saw a $129.00 rate that included $25.00 of free food on Travelzoo. The three of us (55 year olds) all stayed in one suite with 2 double beds and a VERY comfortable pull out sofa. We had plenty of room. Food in the restaurant was great, service was outstanding from everone we came into contact with, early morning delivery of free coffee, juice and hot chocolate was fabulous and recommendations from the staff on where to eat, time of movies, shopping areas, etc was really helpful. Need I mention the outstanding location? Simply the best! We all decided that the Omni is our new favorite hotel.
truthful ||| positive ||| We travel to Chicago regularly and have always wanted to stay at the Hilton Chicago. We booked a PriceLine room on the weekend of the half marathon. The place was busy, but the staff certainly found time for each individual guest. The room was nice and just what we expected. The pool area is also very nice for a downtown hotel. The location was great as we were taking in the Bears 49ers game on a Thursday night and a Sox game on a Friiday night. We would certainly stay there again and would recomment it to others. Great quality even at the regular room price.
truthful ||| negative ||| I booked this hotel for a business trip since I was able to get a $129 rate on Travelzoo and figured I'd save my company some money. I had also read excellent reviews on TripAdvisor. I had a guaranteed and confirmed room reservation for two nights in November. When I arrived in Chicago at 7:30pm I decided to go to dinner prior to checking in so called the hotel to request a late check in and was told "no problem." When I arrived at the hotel at 11:45pm I was told they didn't have a room for me and that I'd have to move to the Four Points Sheraton which they paid for. It was a major inconvenience to have to move and completely unacceptable that my confirmed room was given away. I was told that they overbooked and didn't get as many cancellations as they expected. I did check into the hotel the next day and once there did have a good experience. I would recommend staying here but do ensure that your reservation is indeed confirmed and avoid any late check-ins or you might not have a room! The "experience designers" were great and very helpful. The rooms were very nice and comfortable (felt like home). The breakfast could stand to add on some bagels for the "healthy factor." It was nice that they did have fruit. I think that once the kinks are worked out that this will be a great hotel--they just need to get the basics down!
fake ||| negative ||| I stayed at the Hard Rock hotel in Chicago last year and can say i was not satisfied with my experience. I feel that it didn't live up to what was advertised and the accommodations were sub-par at best. I had the chance to catch a show and the music was too loud and the sound guy's work resembled that of an amateur. My personal rating is 2/5 stars and i would not recommend this hotel to a friend.
truthful ||| positive ||| I would definitely recommend this hotel to anyone wanting accommodation in Chicago. Ideal position, lovely quiet rooms, good facilities, complimentary breakfast well received and the Manager's evening drinks reception excellent; we always tipped the staff who were serving our drinks. The in-house Amalfitini cocktail was very good. The staff were very friendly and helpful. If I ever return to Chicago I would certainly stay there again. Theres nothing bad I can say about this hotel.
fake ||| positive ||| Located right in the heart of downtown Chicago i visited this hotel on a business trip. The first things i noticed was how friendly the staff is, and how clean the rooms are (even compared to other luxury hotels) seeing as i had a night layover before my meeting i decided to stop by the Terrace and get a drink, i got a mojito and i must say i was very impressed, i've had my share of mojitos and it was one of the better ones, once i retired back to my room i found the sound system to be excellent, bed was soft and the TV didn't appear burned out at all. Overall i give this a five out of five, the staff was helpful and friendly the whole time and the atmosphere was perfect, i wish i could have stayed longer.
fake ||| positive ||| If you are looking for a luxurious downtown Chicago experience, the Conrad Chicago is the place to stay. The rooms are equipped with the most comfortable beds dressed with the most luxurious bedding, a 42 inch flat screen television, a spa like bathroom with marble vanity and soaking tub, and views of downtown Chicago that will take your breath away. The hotel has many amenities for you to enjoy while you are there including great restaurants and bars, high speed internet, a fitness facility and laundry services. This hotel was a great place to stay and I would recommend it to anyone looking for a high quality place to stay in downtown Chicago.
truthful ||| positive ||| Arrived on 06/04/05, greeted by friendly doorman, and zipped up to the 5th Floor Lobby. Very open lobby area with friendly reception staff. Room was on the 12th Floor and very nice. Everything was in order and very clean! The king size bed was nice and each night I had a restful sleep. Bathroom was large with separate glass shower stall. The room was furnished with everything I needed including internet hook-up access. Also, you can walk thru on the 5th Fl to the Westfield North Bridge Shopping Mall, where you will enjoy Nordstrom and other stores. Of course, you're steps from Michigan Ave. too. The central location of the hotel was great, as I could walk to most places. The CTA Subway stop (Grand Ave. on Red Line) was an easy 2 block walk. I will stay here again on my next trip to Chicago!
truthful ||| positive ||| We got this hotel by chance since we decided the spur of the moment to spend a nite in Chicago on 7/24/09. We went thru Priceline and was lucky to get a room at this hotel for only $69 (normal rate was around $200). The room was superb on the 29th floor with a nice king bed. Hotel is only about 1.5 blocks to Michigan Ave so the location is very convenient. Parking is very expensive at $50 a nite but we parked right next door at a selfpark for just $30. We decided to have breakfast at the hotel restaurant to save us from walking elsewhere. We ordered the buckwheat pan cakes and egg benedict. They were absolutely delicious which stunned us since we didn't expect this type of experience from a hotel restaurant especially for breakfast. Glad we didn't pick their breakfast buffet since the special menu is much better. I highly recommend this beautiful and cozy hotel for your Chicago visit.
truthful ||| positive ||| Just putting in a good word for the Hard Rock Hotel in Chicago. The reviews I read before going were mixed so we were not sure what to expect. The location was perfect. The hotel was beautiful. Our view was awesome. The room was large enough and very clean. The bed was very comfy. The staff were helpful - especially the concierge, Jared. I couldn't find anything negative to say. If you want to stay in downtown Chicago - you can't go wrong with this cool hotel.
truthful ||| positive ||| My wife and I stayed for 2 nights and loved it. Our stay was booked for us by Virgin Atlantic when we booked our flights from London to Chicago. We were not quite sure what to expect but were reassured by the Hilton brand name. In the event we found that the airline knew what they were doing when they suggested this hotel. On arrrival we got a warm welcome and the check in was quick and efficient. The interior of the hotel is spectacular and looks like has been refurbished to reflect the decor as it would have been when it was built. The room we were given was a good size with 1 Queen bed which was particularly comfortable. The hotel is conveniently located with restaurants nearby. The first night we ate at the hotel's own gourmet restaurant (The Lockwood) which did not disappoint. The breakfasts are also served in this restaurant. We had the buffet both mornings and these were good value for the quality offered. Generally we found the service in this hotel good and the staff very helpful. A nice touch was that when we checked out of the hotel to go to our next destination the car we had booked to pick us up was a few minutes late arriving. A member of staff supervising the doormen saw us looking a bit lost and came over to assist us find the car when it did arrive. Overall I would thoroughly recommend this hotel for both business and leisure stays for both quality and value for money.
fake ||| negative ||| Whilst no doubt being in a good location this hotel falls short in other areas. Most notably is cleanliness, as although the lobby was very clean, the corridors of my floor as well as the room was not. Dust lined the carpeted floor for the hallways, and in the room the the bed emitted an unpleasant odor as if the sheets had not been changed in some time. The furnishings were nice and modern, but with various blemishes upon close inspection. Bathroom was relatively clean, with the exception of the shower. View was nice for this particular room, and service was relatively quick. The food in the restaurant was average but again cleanliness was an issue. This time with the glasses which were stained, the waiter promptly apologized and returned with new glasses but this is still inexcusable in what is advertised as a high class hotel. I will not make the mistake of staying here again.
truthful ||| negative ||| The heating in our room didn't work and wasn't repaired depite numerous requests, the rooms were very small, the litter in the bin remained in the bin for the whole stay, the cleaner made the bed but nothing else, when we returned home my credit card statement showed that the hotel had charged me for the 5 night stay despite my having pre-paid through a travel agent, it took the hotel 2 months to re-credit my card without an apology or offer to pay for my numerous trans-Atlantic phone calls to them.
fake ||| positive ||| Fantastic stay! The hotel was beautifully decorated and immaculately clean. I chose this place because a friend recommended it plus it was VERY close to my business conference. Here you get the resources and exemplary four star luxury treatment with the downtown Chicago charm. Be sure to try the ribs at South Water Kitchen next door. They are the best I've ever had. EVER! If youre in the mood to unwind, you can sample the evening wine tastings downstairs or take a walk and explore the nightlife all around. I had a great time here. From now on, I won't stay anyplace else.
truthful ||| negative ||| We stayed in the Amalfi in July 2010, 4th of July weekend. I was very apprehensive about leaving my Diesel Ford Excursion with the valet at Amalfi. It has a few modifications to the engine and can be damaged if not operated correctly. I explained the procedure to the valet drivers, and felt like it was a complete waste of time. When the vehicle was returned to me the valet driver did not let it idle down and cool the turbo off as I had instructed. When I tried to start it, it wasn't happy, but did finally start. I was so relieved to get it back I just wanted to leave. Driving away I noticed that the top speed recorded on the GPS was 105mph!!! (previous top speed was 95mph, done a few days earlier driving across South Dakota). I could just picture the flying Ferrari scene in Ferris Bueller's Day Off. I couldn't imagine where in the crowded Chicago traffic they found a place to go that fast, though it wouldn't take long to make that happen (see reference to modified engine above). A little while later we stopped for lunch and I noticed a dent in the front bumper. I contacted the hotel and was referred to their claims people. No remedy. Lesson learned. Brett
truthful ||| positive ||| We stayed here as an alternative spot for a friend's wedding. The price was about 50% to 65% of what it costs to stay at similar hotels in the area. First the minuses. 1.) The standard rooms are small. if you want a little more space you might want to upgrade. 2.) Since the hotel has been recently rehabbed you can see some of the stuff that the covered or painted. 3.) There really are no views from the hotel. Now the plusses. 1.) The shower is AWESOME. Probably one of the best hotel showers I've seen. Rain shower with wand, great pressure and the enclosure didn't leak like a lot of these shower stalls do. Very nice. 2.) The fixtures and finishes in the rooms were top notch. Very modern and clean. 3.) The bed was great. Better than some hotels that promote their beds. Great nights sleep. Overall. This is a great space for a trip where you are not going to be spending much time in the room. If you were in town for a conference or for work where you will need to spread out your stuff it might not work. Anyone else should really like the experience. All I care about when I travel is having a nice bed and a good shower to relax in after a long day. If you are the same this is a good spot for you.
fake ||| negative ||| I was not pleased with my recent stay at the Palmer House Hilton. My room was not ready upon my arrival and the room I was given was not what I had requested. I had requested a room with 2 queen size beds on a lower floor and was not given that. The air conditioning in my room was not functioning properly and it could not be turned off. The room had an overpowering fragrance smell which made my sinuses act up. I wondered what had happened in the room before I got it to make the housekeeping staff use so much air freshener. There was no doorman available or a cart so I had to lug my 3 suitcases by myself by dragging 2 of them about 20 feet and then going to get the other one so as not to lose sight of them at any point since they contained valuable irreplaceable items. Luckily another guest saw my predicament and offered assistance. My room had evidence of the previous occupants that had been left behind and overlooked by the housekeeping staff. They promised to send someone up to take care of the debris and after 3 calls to the front desk I finally gave up. I had looked forward to my stay there but have to conclude that it simply did not live up to the advertising and was a poor value for the money that I spent to stay there.
truthful ||| positive ||| My husband and I wanted to spend the weekend in Chicago to celebrate our anniversary, and I had been looking at the James for awhile because it was attached to David Burke's Primehouse. From the moment I called to make my reservation, I knew this hotel understood what customer service means to a consumer and a picky one at that. From the pre-arrival dossier, to the special sweets from the staff to kick off our anniversary weekend and a hand written note thanking us for staying at the James, this staff is well versed in the long lost art of customer service. The rooms were well appointed and the beds comfy and warm on a cool weekend. The walking distance to Michigan Av is a huge plus. From the front desk to the cleaning staff, the staff here is top notch! And David Burke's Primehouse is not to be missed!
truthful ||| negative ||| I usually stay at the Hotel Monaco but stayed at the Allegro because most the Monaco was booked. While the Allegro is similar to the Monaco in it's decor (less traditional and more funky interior) it is not nearly as nice. The linens are not as high quality as the Monaco and the rooms are not decorated as nice. The rooms are also smaller. The main reason I would not recommend the hotel though, is the bathroom. It has an old tiled floor, with an old sink, and old toilet. It reminds me of something you would find in a men's locker room. Although the Allegro has installed a nice mirror, it does not make up for the limited counter space and dingy apperance. Also, the layout of the bathroom is terrible. The toilet is so close to the wall that the toilet paper sits in your lap as you sit on the toilet. Also, the room is not very clean as well. The floor in my room was dirty and I found crumbs in the drawers. I would recommend staying at the Monaco, Hard Rock, or Soffitel for a hotel that is a little less traditional but still nice.
truthful ||| negative ||| I stayed at the Chicago Fairmont for four nights for a conference. My fiance' accompanied me. When we checked in, we were given a room with two full size beds despite the fact that our reservation was for one king size bed. So instead of relaxing on the large luxurious bed we had imagined, we were forced to either sleep in separate beds like Ward and June Cleaver or either cuddle up on a small full size like two college kids in a fraternity house! We discovered that the coffee maker wasn't working and called down to the desk to have someone look at it, and waited two and half hours. We had issues with the plumbing, including extremely slow hot water tap in the bathtub which took 45 minutes to fill. The toilet stopped working twice. We returned one afternoon from the art museum to find the maid in our room, sitting on the bed, watching the tv and talking on her cell phone. They bellman were rude, and wouldn't let my fiance unload our own car which was packed with some of his very expensive camera equipment. There were errors on our bill. Last but not least, we saw a ROACH in the drawers. Alive. The restaurant downstairs was decent, and the location is fairly good since my conference was in the Hyatt next door but for the price you can find someplace better. I will never ever stay here again under any circumstances.
fake ||| negative ||| I want everyone to know about the awful experience I had at the Sheraton Chicago Hotel and Towers. When we arrived at the hotel, the clerk who was checking us in said that our reservation was not in the system (I had called earlier in the day and confirmed it). After speaking to the on-duty manager we were informed that our reservation had been canceled earlier in the day and that the hotel was now completely booked. We later found out that there was a convention at the hotel and that the price for the rooms had risen dramatically. I believe they canceled our reservation just so they could make more money. I for one won't be going back to this hotel!
truthful ||| positive ||| Stayed here for 3 nights for a Bridgestone/Firestone convention. No complaints. Room was great with a beautiful view. Staff was very accommodating. Had drinks and appetizers in main bar. Fantastic! Great location. Yes it's a huge hotel as it's used for conventions but that didn't stop it from being a great place.
fake ||| positive ||| This hotel was wonderful. My room was clean and the staff was courteous. The food provided by the restaurant was exceptional. This was on of the best hotel stays, ive experienced. I highly suggest this hotel to others.
truthful ||| negative ||| We travel to Chicago frequently and have stayed in many of the hotels downtown. We were excited to try the Swissotel, but left disappointed. The actual hotel and rooms were very nice with amazing views, the staff was extremely rude. The man that checked us in was on the phone and did not acknowledge us until he was done with his phone call. He then did not say more than five words, which were "I need a credit card". The lobby bar had fireplaces and was very cozy. The hotel information said it closed at 2am so we came back to hotel at 1230am for a "night cap", that was last call. That was fine for us, but the bar was full and many people were coming back from their night wanting a "night cap" but did not make last call. Our night ended listening to many unhappy people complaining and receiving no sympathy from the employees. There are many places to stay in the area that are just as nice or nicer, no need to stay at the Swissotel again. Definitely don't stay if you're looking for a romantic weekend away, the employees will ruin your experience from the second you walk in the door.
truthful ||| negative ||| I am writing in regards to our stay April 22-24. We were celebrating our honeymoon and were disappointed with our stay. There was construction going on in the hotel and we were not notified of it prior to our stay. My husband had ordered champagne and strawberries for the room to be in there prior to our arrival...it wasn't. When he called to place the order again, it never showed up. We were so disappointed and surprised by the lack of service that we decided to forgo ordering them for a 3rd time. Our room was very small, drab and lacked the romantic setting we were looking for. We had called to request a room with a large tub, similar to the ones in the photos, prior to our arrival, noting that we didn't mind an upgrade cost. Instead, the tub was incredibly small. We have stayed at the Intercontinental in other cities before and had such high expectations for the Chicago location, especially considering we were celebrating such a happy, once-in-a-lifetime occasion. The service and amenities just didn't match up.
fake ||| positive ||| I had a wonderful time at the James Hotel while on business in Chicago. The rooms are modern, tasteful and well-kept, while the staff was responsive and efficient. This was the perfect place to unwind after working all day, but also provided an ideal atmosphere to do some more work.
fake ||| negative ||| Whenever I decided to stay at Fairmont Chicago Millennium Park, the only thing that I had on my mind was the idea of taking that time to relax and enjoy some time with my husband. However, the hotel choice wasn't the best. Right in the front desk when we arrived there we had problems with our reservation. The room that we had reserved was occupied and so we had to switch to some other room, which was much smaller than the original one. The hotel did give us a discount, but if I'd paid for the large room was because I wanted the it. A hotel with this name shouldn't put its guests in these kind of situation. I wont be reserving room there again.
truthful ||| positive ||| My daughter and I were in Chicago for one night after having attended a three-day conference elsewhere in Illinois. We were only in Chicago on our way home. We didn't know where to stay in Chicago, but booked one night at the Sheraton Chicago Hotel and Towers based on their ad in the Chicago Visitors Guide. We're glad we did! We enjoyed our stay very much. Our room was very comfortable and well appointed and had a wonderful view of the city. That's what we wanted--a great view, and we got it. Also, the hotel is within walking distance of many attractions and is accessible from the bus stop (we took the train and bus from the airport into the city and it wasn't bad--saved us a lot of money). The elevators to our room were fast and quick and there was one always available. We found the front desk staff to be friendly and accommodating. The only downside for us is that we had only booked one night in Chicago. We wish we could have stayed there at the Sheraton for at least another night. We would definitely stay there again.
fake ||| negative ||| My wife and I stayed at the Hyatt Regency in Chicago a couple of weeks ago and will most defiantly not go back. The customer service is horrible and it is well apparent that most of the workers did not want to be there either. When we arrived at the hotel we were told us that the room was still being cleaned and had to wait almost a hour before they gave us the key. When we got into the room the bed was not even properly made. The cafe is always crowded with people and it take two hours to get food. We ended up going home two days before we planned.
fake ||| positive ||| The Amalfi Hotel in Chicago was by far one of the best experiences I've had. It definitely felt as comfortable as home with the all the luxuriance of a five star establishment. I had forgotten my favorite CD that puts me to sleep each night. When mentioning this in front of the Front desk clerk, she told me that they have a huge collection of CD's available for guests. Low and behold, they had my favorite CD!! Also, my laptop was not cooperating. Come to find out, they offer every guest full access to their amazing and fully functional business center! From now on, when visiting Chicago, I will ONLY be staying at the Amalfi Hotel!
fake ||| negative ||| The service was only subpar and then rooms needed better cleaning. I was at the check in counter longer than expected because they decided to use a trainee to check me in, definitely no fun after such a long flight. There were no clean towels in the room and my bill was returned with room service charges of which I did not order.
fake ||| positive ||| O.M.G best hotel ever ! i've stayed at various hotels in the area and the service has been really suckish. evan at one hotel i stayed at they had a molded sandwhich under the bed , how gross and i could of really got sick ! but this hotel was the perfect location right by the beach and by all the clubs . ohh . and the pump room , the best food i've evr had at a hotel . i evan got to take a picture with Queen Anne ! i will never regret coming to this hotel! i loved this hotel so much me and my bridemaid's stayed here . and it's just walking distance from all the popular food places and clubs . ( all the places to be at least )
fake ||| negative ||| My stay at the Hyatt Regency was an experience that I'll never ever forget - not in a good way. Check-in was actually pretty easy and the clerk was pleasant. I went up to my room and looked around, all seemed ok at first. I was bushed so I flopped on the bed... ohhhhh noooooo! The bed was as hard as a military bunk from my Army days. But I was so tired that I just passed out. Of course I woke up with a back ache...great. I figured a hot soak in the tub would help my back so I plugged the tub, turned the hot water on full force, and poured in some shower gel. I put my foot in expecting some real heat - the water was barely lukewarm. I called the front desk but they were no help, the clerk just apologized. Frustrated at this point, I turned on the tv and switched on the air. I put my hand over the vent to see how cold the air was and I saw something slimy inside of the vent. It looked like a wet gray chunk of goop or something. I couldn't take anymore of this. I went down to the front desk and complained to the clerk. It seemed as though the guy was on something - he kept smiling as he apologized, no empathy as if he's used to hearing about the goop in the ac. He offered me a free night but there is no way that I'd stay at this place again - ever.
truthful ||| negative ||| Negative points: 1. I guess they gave me the worst room. It's small room with a king size bed even though I'd requested a room with two queen beds. 2. No roll away bed was available so I had to sleep on the floor. 3. The tub in the bathroom would not drain. 4. No exhaust fan in the bathroom. 5. broken furniture. Plus point: 1. Convenient location.
truthful ||| positive ||| Very pleasant front staff, wine in the evening in the lobby, large rooms, great rates, and free Internet for those that are members of the loyalty program. Overall an excellent value. Close to the El for those coming in from either Midway or O'Hare airports.
